time	V(clk)
2.000000180883008e-005	1.989713e-001
2.000000422060351e-005	4.642664e-001
2.000000904415037e-005	9.948565e-001
2.000001000000000e-005	1.100000e+000
2.000001096470937e-005	1.100000e+000
2.000001289412812e-005	1.100000e+000
2.000001675296561e-005	1.100000e+000
2.000002447064059e-005	1.100000e+000
2.000003990599055e-005	1.100000e+000
2.000006403647614e-005	1.100000e+000
2.000009090907916e-005	1.100000e+000
2.000014397449987e-005	1.100000e+000
2.000022238466335e-005	1.100000e+000
2.000037920499031e-005	1.100000e+000
2.000069284564424e-005	1.100000e+000
2.000132012695209e-005	1.100000e+000
2.000257468956779e-005	1.100000e+000
2.000508381479919e-005	1.100000e+000
2.001010206526198e-005	1.100000e+000
2.002013856618758e-005	1.100000e+000
2.004021156803877e-005	1.100000e+000
2.008035757174115e-005	1.100000e+000
2.013895132174115e-005	1.100000e+000
2.019754507174115e-005	1.100000e+000
2.031473257174115e-005	1.100000e+000
2.049051382174115e-005	1.100000e+000
2.054910757174115e-005	1.100000e+000
2.060770132174115e-005	1.100000e+000
2.066629507174116e-005	1.100000e+000
2.072488882174116e-005	1.100000e+000
2.078348257174116e-005	1.100000e+000
2.084207632174116e-005	1.100000e+000
2.090067007174116e-005	1.100000e+000
2.094141625000000e-005	1.100000e+000
2.094142625000000e-005	1.100000e+000
2.094144625000000e-005	1.100000e+000
2.094148625000000e-005	1.100000e+000
2.094156625000001e-005	1.100000e+000
2.094172625000002e-005	1.100000e+000
2.094204625000004e-005	1.100000e+000
2.094268625000009e-005	1.100000e+000
2.096188625000143e-005	1.100000e+000
2.097952999999857e-005	1.100000e+000
2.097953999999857e-005	1.100000e+000
2.097955999999857e-005	1.100000e+000
2.097959999999857e-005	1.100000e+000
2.097967999999858e-005	1.100000e+000
2.098111999999868e-005	1.100000e+000
2.098255999999878e-005	1.100000e+000
2.098399999999888e-005	1.100000e+000
2.098543999999898e-005	1.100000e+000
2.098687999999908e-005	1.100000e+000
2.098831999999918e-005	1.100000e+000
2.098975999999928e-005	1.100000e+000
2.098978999999929e-005	1.100000e+000
2.100000000000000e-005	1.100000e+000
2.100001000000000e-005	1.100000e+000
2.100001100000000e-005	9.900000e-001
2.100001300000000e-005	7.700000e-001
2.100001600000000e-005	4.400000e-001
2.100002000000000e-005	1.559830e-010
2.100002040000000e-005	0.000000e+000
2.100002120000000e-005	0.000000e+000
2.100002280000000e-005	0.000000e+000
2.100002599999999e-005	0.000000e+000
2.100003239999999e-005	0.000000e+000
2.100004519999998e-005	0.000000e+000
2.100007079999997e-005	0.000000e+000
2.100009926481157e-005	0.000000e+000
2.100015619443479e-005	0.000000e+000
2.100023346141863e-005	0.000000e+000
2.100031751742385e-005	0.000000e+000
2.100045656637376e-005	0.000000e+000
2.100060103724926e-005	0.000000e+000
2.100088997900024e-005	0.000000e+000
2.100141269508652e-005	0.000000e+000
2.100225620956183e-005	0.000000e+000
2.100394323851246e-005	0.000000e+000
2.100683821750764e-005	0.000000e+000
2.101220016494223e-005	0.000000e+000
2.102223918880021e-005	0.000000e+000
2.104022764896379e-005	0.000000e+000
2.113479831929094e-005	0.000000e+000
2.124361528357666e-005	0.000000e+000
2.135243224786238e-005	0.000000e+000
2.146124921214809e-005	0.000000e+000
2.157006617643381e-005	0.000000e+000
2.167888314071953e-005	0.000000e+000
2.178770010500524e-005	0.000000e+000
2.189651706929096e-005	0.000000e+000
2.194140625000000e-005	0.000000e+000
2.194141625000000e-005	0.000000e+000
2.194143625000000e-005	0.000000e+000
2.194147625000000e-005	0.000000e+000
2.194155625000001e-005	0.000000e+000
2.194171625000002e-005	0.000000e+000
2.194203625000004e-005	0.000000e+000
2.194267625000009e-005	0.000000e+000
2.194395625000018e-005	0.000000e+000
2.194651625000036e-005	0.000000e+000
2.196187625000143e-005	0.000000e+000
2.197951999999857e-005	0.000000e+000
2.197952999999857e-005	0.000000e+000
2.197954999999857e-005	0.000000e+000
2.197958999999857e-005	0.000000e+000
2.197966999999858e-005	0.000000e+000
2.197982999999859e-005	0.000000e+000
2.198014999999861e-005	0.000000e+000
2.198078999999866e-005	0.000000e+000
2.198462999999892e-005	0.000000e+000
2.198974999999928e-005	0.000000e+000
2.198975999999928e-005	0.000000e+000
2.198977999999928e-005	0.000000e+000
2.198981999999929e-005	0.000000e+000
2.198989999999929e-005	0.000000e+000
2.199005999999930e-005	0.000000e+000
2.199037999999933e-005	0.000000e+000
2.199229999999946e-005	0.000000e+000
2.199485999999964e-005	0.000000e+000
2.199491999999964e-005	0.000000e+000
2.199499999999965e-005	0.000000e+000
2.199515999999966e-005	0.000000e+000
2.199611999999973e-005	0.000000e+000
2.199739999999982e-005	0.000000e+000
2.199751999999983e-005	0.000000e+000
2.199767999999984e-005	0.000000e+000
2.199871999999991e-005	0.000000e+000
2.199935999999996e-005	0.000000e+000
2.199967999999998e-005	0.000000e+000
2.199970999999998e-005	0.000000e+000
2.199982999999999e-005	0.000000e+000
2.199985999999999e-005	0.000000e+000
2.199996000000000e-005	0.000000e+000
2.199999000000000e-005	0.000000e+000
2.200000000000000e-005	0.000000e+000
